datetime,tempmax,tempmin,temp,humidity,precip,precipcover,windspeed,pressure,cloudcover,visibility,uvindex,pm25,pm10,o3,no2,Clear,Partially cloudy,Rain,Snow,Overcast,month,day_of_week
0,2014-01-01,11.9,8.2,9.8,68.37,0.33,8.33,42.0,1014.5,70.2,55.1,0.0,26.0,10.0,23.0,14.0,0,1,1,0,0,1,2
1,2014-01-02,12.1,8.4,10.5,78.29,11.94,37.5,35.5,1010.2,59.2,46.5,0.0,31.0,11.0,10.0,15.0,0,1,1,0,0,1,3
2,2014-01-03,10.7,8.5,10.0,86.57,15.77,58.33,25.4,1015.3,88.8,30.3,0.0,36.0,7.0,15.0,11.0,0,1,1,0,0,1,4
3,2014-01-04,11.6,5.3,9.5,86.54,19.85,66.67,31.4,1007.3,88.4,33.2,0.0,23.0,10.0,20.0,15.0,0,1,1,0,0,1,5
4,2014-01-05,9.6,1.1,5.3,83.87,14.64,25.0,14.3,1014.0,69.0,29.0,0.0,33.0,15.0,17.0,16.0,0,1,1,0,0,1,6
5,2014-01-06,13.7,3.3,8.3,65.22,0.0,0.0,38.9,1016.3,71.8,47.7,0.0,45.0,9.0,20.0,10.0,0,1,0,0,0,1,0
6,2014-01-07,14.7,10.8,12.4,65.89,0.0,0.0,39.6,1019.6,73.5,53.4,0.0,24.0,12.0,21.0,11.0,0,1,0,0,0,1,1
7,2014-01-08,15.6,11.6,12.9,66.29,0.0,0.0,32.5,1022.6,50.1,53.5,0.0,34.0,14.0,24.0,15.0,0,1,0,0,0,1,2
8,2014-01-09,13.4,9.7,12.0,65.3,0.0,0.0,30.5,1019.2,81.9,53.7,0.0,38.0,31.0,9.0,23.0,0,1,0,0,0,1,3
9,2014-01-10,12.1,4.4,7.2,86.18,0.0,4.17,6.3,1020.0,42.8,11.9,0.0,75.0,34.0,11.0,17.321428571428573,0,1,0,0,0,1,4
10,2014-01-11,11.9,4.1,8.5,81.74,0.0,0.0,22.1,1020.5,74.0,22.0,0.0,93.0,35.0,5.0,17.321428571428573,0,1,0,0,0,1,5
11,2014-01-12,8.4,3.9,5.8,92.52,0.0,0.0,10.0,1022.8,39.3,4.6,0.0,100.0,38.0,14.566666666666666,17.321428571428573,0,1,0,0,0,1,6
12,2014-01-13,8.4,2.3,5.8,93.59,16.02,56.52,13.5,1016.6,71.2,6.2,0.0,99.0,13.0,6.0,23.0,0,1,1,0,0,1,0
13,2014-01-14,8.9,2.5,5.5,89.8,9.45,47.83,8.4,1010.8,69.7,20.3,0.0,43.0,20.0,10.0,22.0,0,1,1,0,0,1,1
14,2014-01-15,6.8,-0.5,3.3,87.68,0.0,0.0,10.3,1014.6,53.6,16.5,0.0,57.0,11.0,14.0,20.0,0,1,0,0,0,1,2
15,2014-01-16,10.1,5.5,8.4,75.6,10.58,37.5,22.4,1007.0,95.5,39.4,0.0,29.0,14.0,12.0,23.0,0,0,1,0,1,1,3
16,2014-01-17,12.0,4.9,7.5,82.63,5.69,33.33,13.3,1004.9,38.4,44.0,0.0,37.0,10.0,19.0,13.0,0,1,1,0,0,1,4
17,2014-01-18,12.5,5.1,8.2,73.13,0.05,12.5,24.7,999.9,82.0,42.9,0.0,22.0,15.0,12.0,15.0,0,1,1,0,0,1,5
18,2014-01-19,8.3,6.5,7.3,89.14,18.46,83.33,12.7,998.0,95.5,16.9,0.0,46.0,7.0,17.0,12.0,0,0,1,0,1,1,6
19,2014-01-20,6.8,5.0,5.9,84.15,11.14,75.0,21.6,1006.4,95.6,34.5,0.0,18.0,13.0,16.0,11.0,0,0,1,0,1,1,0
20,2014-01-21,5.7,3.6,5.0,79.24,2.83,16.67,16.9,1014.3,94.8,28.9,0.0,33.0,20.0,13.0,16.0,0,0,1,0,1,1,1
21,2014-01-22,5.7,2.4,3.4,82.48,0.02,8.33,9.2,1013.5,78.0,16.0,0.0,58.0,41.0,12.0,25.0,0,1,1,0,0,1,2
22,2014-01-23,8.9,3.4,5.7,80.69,0.8200000000000001,37.5,15.2,1019.0,84.8,19.7,0.0,95.0,17.178571428571427,17.0,18.0,0,1,1,0,0,1,3
23,2014-01-24,5.4,1.3,3.8,86.74,9.64,58.33,13.1,1018.2,76.4,28.6,0.0,46.535714285714285,17.178571428571427,9.0,23.0,0,1,1,0,0,1,4
24,2014-01-25,5.2,-3.2,1.4,82.89,2.8,4.17,6.1,1020.3,40.6,13.4,0.0,46.535714285714285,17.178571428571427,13.0,20.0,0,1,1,0,0,1,5
25,2014-01-26,7.8,3.6,5.6,83.08,1.85,33.33,21.1,1016.6,84.7,19.8,0.0,46.535714285714285,14.0,21.0,20.0,0,1,1,0,0,1,6
26,2014-01-27,8.7,1.0,6.1,69.2,3.88,29.17,27.7,1004.7,57.6,45.1,0.0,30.0,19.0,14.0,23.0,0,1,1,0,0,1,0
27,2014-01-28,8.1,0.6000000000000001,4.3,72.9,0.05,25.0,19.0,1001.0,78.9,37.4,0.0,52.0,8.0,18.0,12.0,0,1,1,0,0,1,1
28,2014-01-29,6.7,3.9,5.5,72.96,0.04,25.0,26.7,997.1,90.3,53.6,0.0,15.0,19.0,13.0,23.0,0,0,1,0,1,1,2
29,2014-01-30,6.4,2.8,5.3,78.84,0.61,21.74,20.2,1004.0,93.5,31.6,0.0,49.0,20.0,10.0,21.0,0,0,1,0,1,1,3
30,2014-01-31,7.9,2.3,4.3,84.99,0.04,12.5,12.0,1009.8,66.9,16.9,0.0,62.0,11.0,16.0,15.0,0,1,1,0,0,1,4
31,2014-02-01,7.7,3.0,6.0,79.08,14.72,37.5,34.5,1007.7,73.8,29.4,0.0,33.0,10.0,20.0,8.0,0,1,1,0,0,2,5
32,2014-02-02,8.0,2.4,5.0,81.15,10.82,37.5,21.0,1014.9,56.2,36.5,0.0,22.0,19.0,14.0,18.0,0,1,1,0,0,2,6
33,2014-02-03,11.5,-1.1,4.3,76.29,0.0,0.0,29.7,1011.0,23.3,28.5,0.0,43.0,11.0,18.0,17.0,0,1,0,0,0,2,0
34,2014-02-04,10.4,4.9,6.9,75.65,1.43,20.83,29.2,1010.9,52.2,44.8,0.0,25.0,8.0,24.0,14.0,0,1,1,0,0,2,1
35,2014-02-05,9.5,4.8,7.4,71.36,2.02,16.67,46.5,1004.7,81.8,51.1,0.0,19.0,16.0,20.0,15.0,0,1,1,0,0,2,2
36,2014-02-06,11.3,1.2,7.3,66.19,0.0,0.0,42.5,1009.8,36.2,38.6,0.0,38.0,10.0,25.0,18.0,0,1,0,0,0,2,3
37,2014-02-07,12.5,4.5,8.6,78.2,25.96,54.17,40.9,1007.3,81.5,41.2,0.0,23.0,11.0,18.0,13.0,0,1,1,0,0,2,4
38,2014-02-08,9.5,3.8,7.1,75.42,8.38,29.17,34.6,1004.1,78.3,48.0,0.0,27.0,8.0,24.0,7.0,0,1,1,0,0,2,5
39,2014-02-09,11.6,5.5,7.5,55.72,0.0,0.0,28.1,1005.2,35.7,56.0,0.0,13.0,7.0,24.0,16.0,0,1,0,0,0,2,6
40,2014-02-10,9.3,5.3,7.5,76.12,28.24,62.5,35.0,994.9,94.6,42.5,0.0,15.0,15.0,17.0,21.0,0,0,1,0,1,2,0
41,2014-02-11,9.9,1.7000000000000002,6.2,74.08,3.72,20.83,15.8,1009.5,55.2,43.7,0.0,31.0,11.0,15.0,15.0,0,1,1,0,0,2,1
42,2014-02-12,10.5,4.4,7.6,70.91,0.44,20.83,26.1,1012.7,69.8,41.3,0.0,27.0,9.0,22.0,11.0,0,1,1,0,0,2,2
43,2014-02-13,12.1,4.5,9.1,61.36,3.53,54.17,41.3,1007.8,78.7,46.9,0.0,19.0,12.0,19.0,19.0,0,1,1,0,0,2,3
44,2014-02-14,12.2,2.1,7.6,70.01,3.0,4.17,32.5,1010.1,82.5,49.7,0.0,29.0,8.0,21.0,7.0,0,1,1,0,0,2,4
45,2014-02-15,15.5,5.5,11.4,73.59,21.14,45.83,40.3,1007.5,88.5,47.8,0.0,16.0,7.0,19.0,11.0,0,1,1,0,0,2,5
46,2014-02-16,9.3,4.0,6.6,81.79,0.43,20.83,12.0,1016.4,70.3,52.4,0.0,16.0,23.0,13.0,23.0,0,1,1,0,0,2,6
47,2014-02-17,11.8,0.6000000000000001,6.0,77.01,0.0,0.0,11.3,1015.9,14.1,33.2,0.0,60.0,32.0,5.0,28.0,1,0,0,0,0,2,0
48,2014-02-18,12.1,3.0,6.9,73.89,0.0,0.0,9.0,1016.0,56.5,27.8,0.0,73.0,19.0,18.0,19.0,0,1,0,0,0,2,1
49,2014-02-19,12.1,5.9,8.6,72.45,0.0,0.0,12.5,1017.8,79.9,40.0,0.0,42.0,17.0,15.0,20.0,0,1,0,0,0,2,2
50,2014-02-20,14.1,3.7,9.4,71.73,0.18,8.33,8.2,1016.1,55.1,38.4,0.0,39.0,15.0,14.0,22.0,0,1,1,0,0,2,3
51,2014-02-21,10.0,4.0,7.9,84.61,18.6,70.83,12.3,1014.8,72.8,32.4,0.0,50.0,15.0,19.0,21.0,0,1,1,0,0,2,4
52,2014-02-22,11.9,1.0,6.7,71.83,0.04,20.83,13.7,1020.0,57.6,43.3,0.0,46.0,18.0,23.0,20.0,0,1,1,0,0,2,5
53,2014-02-23,14.6,3.5,9.0,69.67,0.0,0.0,14.4,1021.1,33.1,44.0,0.0,53.0,13.0,28.0,10.0,0,1,0,0,0,2,6
54,2014-02-24,14.6,8.0,10.7,51.78,0.0,0.0,43.4,1017.2,3.2,55.4,0.0,35.0,12.0,27.0,9.0,1,0,0,0,0,2,0
55,2014-02-25,11.9,8.0,9.8,61.92,0.09,12.5,36.6,1015.7,54.4,54.6,0.0,30.0,10.0,25.0,19.0,0,1,1,0,0,2,1
56,2014-02-26,9.2,4.7,6.2,86.7,19.61,75.0,15.0,1019.3,91.9,30.1,0.0,32.0,21.0,13.0,21.0,0,0,1,0,1,2,2
57,2014-02-27,8.7,2.3,5.9,82.83,4.64,29.17,25.8,1021.6,78.4,27.5,0.0,61.0,11.0,16.0,21.0,0,1,1,0,0,2,3
58,2014-02-28,6.8,3.4,5.6,82.96,9.44,45.83,37.7,1008.4,86.5,47.0,0.0,39.0,8.0,18.0,12.0,0,1,1,0,0,2,4
59,2014-03-01,9.0,3.4,5.5,73.94,3.09,20.83,15.5,1004.0,79.2,51.9,0.0,32.0,13.0,23.0,8.0,0,1,1,0,0,3,5
60,2014-03-02,10.7,2.9,5.9,71.87,0.0,0.0,18.8,1004.1,41.3,32.4,0.0,50.0,13.0,22.0,17.0,0,1,0,0,0,3,6
61,2014-03-03,11.1,5.3,7.4,66.55,4.02,29.17,41.4,996.6,81.3,48.6,0.0,40.0,7.0,27.0,9.0,0,1,1,0,0,3,0
62,2014-03-04,9.2,4.8,6.8,67.9,0.41,29.17,28.3,1004.2,91.4,53.9,0.0,19.0,17.0,26.0,10.0,0,0,1,0,1,3,1
63,2014-03-05,12.7,3.6,7.7,65.19,0.0,0.0,31.4,1016.8,6.9,34.6,0.0,52.0,25.0,24.0,10.0,1,0,0,0,0,3,2
64,2014-03-06,13.1,3.6,7.8,62.45,0.0,0.0,19.0,1024.5,1.4,18.7,0.0,72.0,45.0,21.0,24.0,1,0,0,0,0,3,3
65,2014-03-07,14.2,0.1,7.0,68.38,0.0,0.0,15.9,1026.0,0.6000000000000001,7.4,0.0,121.0,48.0,24.0,23.0,1,0,0,0,0,3,4
66,2014-03-08,16.3,2.1,8.8,65.11,0.0,0.0,11.4,1027.3,1.2,7.1,0.0,128.0,41.0,34.0,30.0,1,0,0,0,0,3,5
67,2014-03-09,19.6,3.0,10.3,61.41,0.0,0.0,9.4,1027.5,0.0,19.3,0.0,110.0,39.0,32.0,29.0,1,0,0,0,0,3,6
68,2014-03-10,18.2,2.4,9.7,64.51,0.0,0.0,15.2,1022.0,7.0,12.9,0.0,99.0,51.0,19.0,27.0,1,0,0,0,0,3,0
69,2014-03-11,13.6,3.4,8.6,69.92,0.0,0.0,8.4,1023.1,12.2,6.6,0.0,132.0,61.0,27.0,29.0,1,0,0,0,0,3,1
70,2014-03-12,18.2,2.5,9.8,69.74,0.0,0.0,12.6,1027.9,0.6000000000000001,6.0,0.0,152.0,61.0,28.0,33.0,1,0,0,0,0,3,2
71,2014-03-13,17.7,3.4,10.3,68.62,0.0,0.0,12.5,1028.4,0.2,7.3,0.0,151.0,66.0,32.0,32.0,1,0,0,0,0,3,3
72,2014-03-14,17.9,3.6,10.4,70.11,0.0,0.0,9.4,1026.4,0.0,4.8,0.0,159.0,60.0,30.0,20.0,1,0,0,0,0,3,4
73,2014-03-15,16.6,4.3,9.8,71.45,0.0,0.0,35.6,1026.4,35.1,4.8,0.0,149.0,38.0,29.0,7.0,0,1,0,0,0,3,5
74,2014-03-16,18.1,8.5,12.5,63.56,0.0,0.0,22.1,1026.4,38.3,15.5,0.0,101.0,22.0,29.0,17.0,0,1,0,0,0,3,6
75,2014-03-17,19.9,5.7,12.4,62.34,0.0,0.0,10.5,1023.0,0.3,28.8,0.0,58.0,33.0,28.0,22.0,1,0,0,0,0,3,0
76,2014-03-18,23.3,4.7,13.7,59.76,0.0,0.0,21.3,1020.0,14.0,23.5,0.0,78.0,18.0,29.0,7.0,1,0,0,0,0,3,1
77,2014-03-19,16.3,8.7,12.1,57.67,0.0,0.0,23.6,1026.5,29.6,32.8,0.0,45.0,26.0,33.0,17.0,0,1,0,0,0,3,2
78,2014-03-20,21.0,4.8,12.9,61.45,0.0,0.0,26.9,1020.4,4.0,25.6,0.0,62.0,34.0,34.0,11.0,1,0,0,0,0,3,3
79,2014-03-21,18.3,12.3,14.6,57.84,0.0,0.0,41.9,1016.5,37.5,20.6,0.0,70.0,14.0,32.0,11.0,0,1,0,0,0,3,4
80,2014-03-22,12.7,7.2,10.6,78.4,24.26,66.67,39.2,1010.6,90.0,29.4,0.0,39.0,8.0,25.0,10.0,0,1,1,0,0,3,5
81,2014-03-23,9.3,2.8,5.8,77.36,4.3,45.83,25.8,1011.5,67.6,33.8,0.0,23.0,7.0,24.0,12.0,0,1,1,0,0,3,6
82,2014-03-24,9.4,3.1,6.0,67.5,3.18,29.17,14.2,1015.1,62.8,49.8,0.0,22.0,20.0,21.0,24.0,0,1,1,0,0,3,0
83,2014-03-25,9.5,3.0,5.9,73.05,0.34,20.83,14.2,1009.4,90.3,30.5,0.0,57.0,20.0,28.0,14.0,0,0,1,0,1,3,1
84,2014-03-26,12.2,3.5,7.8,58.48,0.0,0.0,22.3,1009.2,52.1,27.1,0.0,59.0,22.0,30.0,16.0,0,1,0,0,0,3,2
85,2014-03-27,13.2,2.3,8.0,52.04,0.0,0.0,14.9,1010.9,27.0,21.3,0.0,66.0,28.0,28.0,23.0,0,1,0,0,0,3,3
86,2014-03-28,17.9,1.2,9.7,52.67,0.0,0.0,18.6,1014.6,9.2,29.1,0.0,70.0,19.0,31.0,18.0,1,0,0,0,0,3,4
87,2014-03-29,18.1,6.9,13.0,50.83,0.0,0.0,17.6,1016.4,63.2,49.0,0.0,52.0,31.0,26.0,24.0,0,1,0,0,0,3,5
88,2014-03-30,18.5,11.8,14.1,53.71,0.0,0.0,9.8,1015.6,55.2,31.1,0.0,69.0,24.0,32.0,17.0,0,1,0,0,0,3,6
89,2014-03-31,19.5,6.9,14.1,57.17,0.0,0.0,22.1,1015.4,29.7,40.5,0.0,54.0,42.0,28.0,14.0,0,1,0,0,0,3,0
90,2014-04-01,18.6,8.2,13.6,63.98,0.0,0.0,39.4,1013.0,10.8,28.3,0.0,68.0,38.0,32.0,8.0,1,0,0,0,0,4,1
91,2014-04-02,20.7,11.6,15.5,52.54,0.0,0.0,38.0,1008.3,24.0,39.6,0.0,52.0,42.0,27.0,31.0,0,1,0,0,0,4,2
92,2014-04-03,15.2,12.2,13.9,58.4,0.0,0.0,11.0,1003.7,94.7,33.2,0.0,61.0,30.0,28.0,17.0,0,0,0,0,1,4,3
93,2014-04-04,19.0,12.0,14.6,65.84,0.2,16.67,28.8,1007.3,87.2,37.0,0.0,57.0,11.0,22.0,6.0,0,1,1,0,0,4,4
94,2014-04-05,15.7,10.9,13.0,71.76,3.51,25.0,25.1,1016.0,89.8,35.4,0.0,34.0,14.0,32.0,8.0,0,1,1,0,0,4,5
95,2014-04-06,19.9,6.5,13.5,64.66,0.0,0.0,14.8,1020.1,18.4,38.5,0.0,36.0,22.0,31.0,16.0,1,0,0,0,0,4,6
96,2014-04-07,24.4,7.9,16.2,59.71,0.0,0.0,32.0,1017.7,16.0,45.7,0.0,49.0,14.0,28.0,10.0,1,0,0,0,0,4,0
97,2014-04-08,18.1,11.5,14.2,67.95,24.67,43.48,20.9,1022.4,79.3,41.7,0.0,31.0,12.0,27.0,7.0,0,1,1,0,0,4,1
98,2014-04-09,17.5,7.4,12.4,53.61,0.0,0.0,23.5,1025.2,15.2,54.9,0.0,30.0,11.0,29.0,12.0,1,0,0,0,0,4,2
99,2014-04-10,20.9,4.0,12.4,54.73,0.0,0.0,8.2,1020.6,0.4,51.2,0.0,32.0,24.0,32.0,22.0,1,0,0,0,0,4,3
100,2014-04-11,23.1,6.6,14.9,55.99,0.0,0.0,10.0,1015.4,7.7,38.0,0.0,58.0,28.0,41.0,9.0,1,0,0,0,0,4,4
101,2014-04-12,21.6,9.3,15.7,60.42,0.0,0.0,15.9,1016.6,6.7,26.3,0.0,70.0,24.0,42.0,5.0,1,0,0,0,0,4,5
102,2014-04-13,19.7,12.1,15.5,51.7,0.0,0.0,23.7,1020.0,24.3,26.0,0.0,64.0,15.0,36.0,7.0,0,1,0,0,0,4,6
103,2014-04-14,19.4,7.1,13.8,55.09,0.0,0.0,20.5,1020.8,1.5,44.1,0.0,45.0,19.0,34.0,5.0,1,0,0,0,0,4,0
104,2014-04-15,15.7,5.9,11.2,47.59,0.0,0.0,35.4,1021.6,0.7000000000000001,44.4,0.0,37.0,17.0,33.0,6.0,1,0,0,0,0,4,1
105,2014-04-16,16.5,3.6,10.0,47.13,0.0,0.0,17.0,1022.9,0.2,50.6,0.0,42.0,20.0,35.0,15.0,1,0,0,0,0,4,2
106,2014-04-17,19.2,2.7,11.2,48.26,0.0,0.0,14.2,1020.3,3.2,40.7,0.0,48.0,26.0,24.0,21.0,1,0,0,0,0,4,3
107,2014-04-18,15.6,5.8,10.3,64.11,0.01,4.17,28.7,1014.0,71.8,26.9,0.0,64.0,13.0,32.0,3.0,0,1,1,0,0,4,4
108,2014-04-19,12.4,4.1,8.8,59.69,0.0,0.0,23.6,1009.4,32.1,48.2,0.0,34.0,17.0,30.0,10.0,0,1,0,0,0,4,5
109,2014-04-20,14.0,1.7000000000000002,8.1,76.33,3.67,25.0,18.3,1006.7,56.6,23.5,0.0,53.0,12.0,29.0,9.0,0,1,1,0,0,4,6
110,2014-04-21,15.5,8.5,11.3,83.3,8.69,58.33,14.7,1005.7,90.8,25.1,0.0,45.0,21.0,29.0,17.0,0,0,1,0,1,4,0
111,2014-04-22,19.6,10.0,14.1,77.01,14.52,37.5,16.3,1011.7,72.3,18.8,0.0,63.0,14.0,35.0,11.0,0,1,1,0,0,4,1
112,2014-04-23,21.5,11.1,15.8,68.77,3.87,16.67,11.9,1017.9,40.5,31.3,0.0,45.0,10.0,35.0,11.0,0,1,1,0,0,4,2
113,2014-04-24,21.7,11.5,16.7,63.95,0.02,8.33,18.8,1015.9,34.1,49.0,0.0,29.0,11.0,30.0,12.0,0,1,1,0,0,4,3
114,2014-04-25,16.7,14.2,15.4,60.79,2.74,33.33,22.0,1012.2,77.0,54.0,0.0,35.0,11.0,36.0,7.0,0,1,1,0,0,4,4
115,2014-04-26,19.6,8.6,13.4,67.77,6.52,20.83,25.1,1013.5,57.6,40.1,0.0,33.0,9.0,32.0,4.0,0,1,1,0,0,4,5
116,2014-04-27,16.5,8.7,12.1,72.15,4.8,37.5,18.8,1011.3,72.0,43.4,0.0,26.0,7.0,30.0,8.0,0,1,1,0,0,4,6
117,2014-04-28,16.0,9.2,12.1,67.42,2.99,12.5,15.2,1011.9,80.9,51.4,0.0,19.0,11.0,32.0,8.0,0,1,1,0,0,4,0
118,2014-04-29,17.9,8.5,13.0,66.85,1.79,16.67,8.7,1013.4,60.4,43.2,0.0,31.0,7.0,27.0,9.0,0,1,1,0,0,4,1
119,2014-04-30,14.9,9.3,11.9,78.01,14.45,58.33,17.5,1012.8,85.9,42.3,0.0,24.0,11.0,30.0,7.0,0,1,1,0,0,4,2
120,2014-05-01,18.6,8.6,12.7,77.44,5.42,20.83,13.1,1014.0,72.2,27.1,0.0,37.0,5.0,23.0,5.0,0,1,1,0,0,5,3
121,2014-05-02,15.8,9.9,12.3,82.61,22.56,75.0,30.2,1013.4,92.6,34.0,0.0,19.0,17.0,30.0,2.0,0,0,1,0,1,5,4
122,2014-05-03,12.6,9.1,11.0,72.84,0.04,8.33,31.9,1018.4,86.4,23.4,0.0,55.0,12.0,37.0,1.0,0,1,1,0,0,5,5
123,2014-05-04,16.9,5.3,10.6,64.33,0.0,0.0,23.3,1018.8,45.5,33.9,0.0,39.0,17.0,43.0,13.0,0,1,0,0,0,5,6
124,2014-05-05,24.2,4.4,14.4,55.35,0.0,0.0,29.2,1015.8,5.3,39.6,0.0,45.0,16.0,41.0,8.0,1,0,0,0,0,5,0
125,2014-05-06,19.1,14.3,15.9,51.47,0.8,18.18,35.5,1016.2,58.5,48.2,0.0,39.0,12.0,37.0,10.0,0,1,1,0,0,5,1
126,2014-05-07,19.6,11.7,15.0,68.03,8.13,45.83,24.2,1018.4,65.3,42.4,0.0,34.0,17.0,4.0,22.0,0,1,1,0,0,5,2
127,2014-05-08,20.9,8.2,15.3,69.03,0.0,0.0,8.8,1019.4,52.0,40.5,0.0,50.0,11.0,24.0,8.0,0,1,0,0,0,5,3
128,2014-05-09,22.7,12.2,18.2,63.24,0.01,4.17,19.7,1019.7,49.8,42.9,0.0,31.0,11.0,28.0,8.0,0,1,1,0,0,5,4
129,2014-05-10,21.7,11.3,17.5,66.03,0.01,4.17,10.7,1017.6,42.3,49.7,0.0,32.0,9.0,33.0,3.0,0,1,1,0,0,5,5
130,2014-05-11,18.9,12.3,15.7,57.78,1.05,29.17,33.9,1015.5,56.6,51.5,0.0,24.0,9.0,31.0,6.0,0,1,1,0,0,5,6
131,2014-05-12,15.2,8.8,12.3,57.97,0.2,20.83,13.4,1018.6,61.0,52.1,0.0,25.0,7.0,29.0,7.0,0,1,1,0,0,5,0
132,2014-05-13,14.9,7.3,11.0,67.87,1.14,41.67,29.3,1020.7,62.4,49.2,0.0,25.0,7.0,31.0,8.0,0,1,1,0,0,5,1
133,2014-05-14,16.2,8.6,11.7,68.13,0.35,20.83,27.1,1028.4,64.5,48.9,0.0,30.0,13.0,37.0,6.0,0,1,1,0,0,5,2
134,2014-05-15,16.7,7.8,11.7,63.75,0.01,4.17,37.0,1028.3,21.8,36.3,0.0,42.0,15.0,38.0,6.0,0,1,1,0,0,5,3
135,2014-05-16,19.1,6.2,13.1,53.93,0.0,0.0,38.4,1022.2,13.6,40.6,0.0,39.0,10.0,42.0,5.0,1,0,0,0,0,5,4
136,2014-05-17,22.1,9.1,15.9,47.77,0.0,0.0,24.2,1016.9,4.8,54.6,0.0,31.0,12.433333333333334,46.0,8.0,1,0,0,0,0,5,5
137,2014-05-18,24.3,8.1,16.8,50.97,0.0,0.0,24.1,1013.2,4.5,43.7,0.0,41.0,17.0,46.0,10.0,1,0,0,0,0,5,6
138,2014-05-19,22.6,11.7,17.9,50.98,0.0,0.0,29.0,1009.0,39.3,46.9,0.0,37.0,17.0,42.0,7.533333333333333,0,1,0,0,0,5,0
139,2014-05-20,22.2,15.5,19.2,55.46,0.0,0.0,34.2,1011.6,41.5,48.3,0.0,36.0,23.0,43.0,10.0,0,1,0,0,0,5,1
140,2014-05-21,27.8,15.4,21.0,52.47,0.01,4.17,37.8,1009.3,41.9,41.1,0.0,46.0,28.0,40.0,9.0,0,1,1,0,0,5,2
141,2014-05-22,22.8,12.5,18.1,62.05,11.34,37.5,39.5,1009.0,60.9,36.3,0.0,47.0,11.0,39.0,8.0,0,1,1,0,0,5,3
142,2014-05-23,22.9,11.1,16.2,63.76,22.48,33.33,32.2,1010.9,45.1,45.1,0.0,30.0,7.0,41.0,6.0,0,1,1,0,0,5,4
143,2014-05-24,21.5,8.4,14.9,57.87,0.32,12.5,12.5,1017.4,27.9,50.7,0.0,22.0,10.0,39.0,8.0,0,1,1,0,0,5,5
144,2014-05-25,22.8,10.0,16.3,56.96,0.01,8.33,17.9,1017.1,39.9,52.6,0.0,34.0,12.0,37.0,13.0,0,1,1,0,0,5,6
145,2014-05-26,21.4,13.0,15.9,70.37,21.01,45.83,21.5,1015.5,86.0,42.1,0.0,42.0,7.0,26.0,9.0,0,1,1,0,0,5,0
146,2014-05-27,14.2,11.2,12.5,82.3,18.23,66.67,14.2,1017.1,95.0,28.1,0.0,23.0,12.0,38.0,11.0,0,0,1,0,1,5,1
147,2014-05-28,21.2,8.1,14.8,67.51,0.04,8.33,13.5,1014.2,20.8,35.1,0.0,37.0,8.0,42.0,4.0,0,1,1,0,0,5,2
148,2014-05-29,20.8,9.4,16.2,59.35,0.01,4.17,22.0,1015.2,23.2,52.6,0.0,24.0,10.0,40.0,4.0,0,1,1,0,0,5,3
149,2014-05-30,22.9,13.4,18.1,54.83,0.15,16.67,29.3,1016.6,27.3,51.1,0.0,28.0,11.0,41.0,3.0,0,1,1,0,0,5,4
150,2014-05-31,21.6,12.2,17.0,55.33,0.0,4.17,24.2,1018.3,11.1,45.8,0.0,35.0,12.0,43.0,5.0,1,0,0,0,0,5,5
151,2014-06-01,23.0,11.0,17.6,49.89,0.0,0.0,23.0,1019.3,16.4,47.2,0.0,39.0,13.0,44.0,7.0,1,0,0,0,0,6,6
152,2014-06-02,21.5,11.7,17.2,51.77,0.0,0.0,21.0,1018.6,52.5,47.1,0.0,43.0,13.0,41.0,7.0,0,1,0,0,0,6,0
153,2014-06-03,23.0,10.9,18.0,55.95,0.0,0.0,14.8,1015.5,23.2,44.7,0.0,42.0,16.0,27.0,15.0,0,1,0,0,0,6,1
154,2014-06-04,19.5,14.5,16.6,71.74,3.88,29.17,24.2,1011.7,82.2,37.4,0.0,45.0,14.0,35.0,10.0,0,1,1,0,0,6,2
155,2014-06-05,22.6,12.0,16.9,60.71,0.0,0.0,11.6,1015.3,33.3,50.1,0.0,32.0,20.0,48.0,15.0,0,1,0,0,0,6,3
156,2014-06-06,26.6,12.2,20.4,53.4,0.0,0.0,33.9,1014.6,11.9,47.7,0.0,47.0,22.0,47.0,7.0,1,0,0,0,0,6,4
157,2014-06-07,30.2,17.7,24.3,40.91,0.0,0.0,34.5,1014.9,7.1,48.9,0.0,47.0,27.0,46.0,5.0,1,0,0,0,0,6,5
158,2014-06-08,33.0,17.9,26.2,36.23,0.0,0.0,35.8,1016.7,5.7,48.1,0.0,58.0,41.0,39.0,6.0,1,0,0,0,0,6,6
159,2014-06-09,34.3,18.0,27.1,34.99,0.0,0.0,29.2,1015.6,14.7,44.1,0.0,73.0,31.0,50.0,11.0,1,0,0,0,0,6,0
160,2014-06-10,34.6,19.2,26.3,44.48,12.73,20.83,28.5,1017.2,42.9,44.5,0.0,69.0,15.0,54.0,8.0,0,1,1,0,0,6,1
161,2014-06-11,30.0,16.3,23.5,59.52,4.44,20.83,19.9,1021.3,10.0,50.3,0.0,48.0,22.0,71.0,8.0,0,0,1,0,0,6,2
162,2014-06-12,30.9,20.9,25.5,60.53,0.0,0.0,18.8,1020.6,9.4,45.2,0.0,63.0,25.0,67.0,7.0,1,0,0,0,0,6,3
163,2014-06-13,30.2,20.6,25.3,56.78,0.0,0.0,22.5,1017.2,10.1,40.9,0.0,65.0,20.0,54.0,5.0,1,0,0,0,0,6,4
